imdb_title_id,title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics
tt0119292,Hijacking Hollywood,1997,06/06/1997,Comedy,91,USA,English,Neil Mandt,"Neil Mandt, Jim Rossow",Broken Twig Productions Inc.,"Henry Thomas, Scott Thompson, Mark Metcalf, Neil Mandt, Nicole Gian, Helen Duffy, Paul Hewitt, Art LaFleur, Shirly Brener, Jf Pryor, Steve Van Wormer, Mark Holton, Loren Lazerine, Hedy Popson, Noella Akwiri","An aspiring director working as a lowly production assistant, conspires with his aspiring producer roommate to steal the reels of a mega budgeted film he's working on.",4.7,266,NA,$ 4333,NA,NA,7,4
tt0119305,Homegrown,1998,17/04/1998,"Comedy, Crime, Drama",102,USA,English,Stephen Gyllenhaal,"Jonah Raskin, Stephen Gyllenhaal",Lakeshore International,"John Lithgow, Jon Tenney, Ryan Phillippe, Hank Azaria, Billy Bob Thornton, Kelly Lynch, Jon Bon Jovi, Kleoka Renee Sands, Matt Ross, Judge Reinhold, Leigh French, Christopher Dalton, Jamie Lee Curtis, Tiffany Paulsen, Jeanette H. Wilson","Life is good for Jack, Carter and Harlan, three inept ne'r-do-wells who help run master dope-grower Malcoms flourishing marijuana plantation somewhere in northern California. But then ...",5.8,4448,NA,$ 77910,$ 77910,NA,43,18
tt0119311,Hoodlum,1997,27/08/1997,"Crime, Drama",130,USA,English,Bill Duke,Chris Brancato,United Artists,"Laurence Fishburne, Tim Roth, Vanessa Williams, Andy Garcia, Cicely Tyson, Chi McBride, Clarence Williams III, Richard Bradford, William Atherton, Loretta Devine, Queen Latifah, Mike Starr, Beau Starr, Paul Benjamin, Joe Guzaldo",Black gangsters in 1930 Harlem fights Dutch Schultz who is trying to horn in on their numbers racket.,6.3,10379,$ 30000000,$ 23499102,$ 23499102,50,60,47
tt0119349,The Ice Storm,1997,30/10/1997,Drama,112,USA,English,Ang Lee,"Rick Moody, James Schamus",Fox Searchlight Pictures,"Kevin Kline, Joan Allen, Sigourney Weaver, Henry Czerny, Tobey Maguire, Christina Ricci, Elijah Wood, Adam Hann-Byrd, David Krumholtz, Jamey Sheridan, Kate Burton, William Cain, Michael Cumpsty, Maia Danziger, Katie Holmes","In suburban New Canaan, Connecticut, 1973, middle class families experimenting with casual sex and substance abuse find their lives beyond their control.",7.4,52746,$ 18000000,$ 8038061,$ 8038061,72,301,135
tt0119357,Shades of Gray,1997,09/08/1997,"Action, Thriller",95,USA,English,Jag Mundhra,"Carl Austin, Jag Mundhra",Everest Pictures Inc.,"Christopher Michael, Wendy MacDonald, David Blass, Doug Jeffery, Johnnie Johnson III, Sonia Nassery Cole, Monica Valles, Kehli O'Byrne, Blake Adams, Tom Reilly, Lee Anne Beaman, Kathy Shower, Mary Swenson, Granville Ames, Michelle Helm",A beautiful LAPD sketch artist moves back to her hometown in order to forget her past.,4.1,110,NA,NA,NA,NA,1,1
tt0119365,Incognito,1997,13/03/1998,"Crime, Thriller",108,USA,English,John Badham,Jordan Katz,Morgan Creek Entertainment,"Jason Patric, Irène Jacob, Thomas Lockyer, Ian Richardson, Simon Chandler, Pip Torrens, Michael Cochrane, Rod Steiger, Togo Igawa, Joseph Blatchley, Paul Brennen, Olivier Pierre, Peter Gale, David Marrick, Dudley Sutton","Harry Donovan is an art forger who paints fake Rembrandt picture for five hundred thousand dollars. The girl he meets and gets into bed with, in Paris, Marieke, turns out to be an art ...",6.6,3251,NA,NA,NA,NA,36,7
tt0119395,The Jackal,1997,30/01/1998,"Action, Crime, Drama",124,"USA, UK, France, Germany, Japan","English, Russian",Michael Caton-Jones,"Kenneth Ross, Chuck Pfarrer",Universal Pictures,"Bruce Willis, Richard Gere, Sidney Poitier, Diane Venora, Mathilda May, J.K. Simmons, Richard Lineback, John Cunningham, Jack Black, Tess Harper, Leslie Phillips, Stephen Spinella, Sophie Okonedo, David Hayman, Steve Bassett","An imprisoned I.R.A. fighter is freed to help stop a brutal, seemingly ""faceless"" assassin from completing his next job.",6.4,104727,$ 60000000,$ 54930280,$ 159330280,36,249,79
tt0119432,Jungle 2 Jungle,1997,22/08/1997,"Comedy, Family",105,"USA, France",English,John Pasquin,"Hervé Palud, Thierry Lhermitte",Walt Disney Pictures,"Tim Allen, Martin Short, JoBeth Williams, Lolita Davidovich, Sam Huntington, David Ogden Stiers, Bob Dishy, Valerie Mahaffey, Leelee Sobieski, Frankie J. Galasso, Luis Avalos, Carole Shelley, Dominic Keating, Rondi Reed, Oni Faida Lampley","A man learns he has a thirteen-year-old son who was raised in the jungle and brings the boy to New York City, turning his life upside down in the process.",5.2,22431,$ 32000000,$ 59927618,$ 59927618,42,56,31
tt0119448,Karakter,1997,07/10/1998,"Crime, Drama, Mystery",122,"Netherlands, Belgium","Dutch, English, German, French",Mike van Diem,"Ferdinand Bordewijk, Laurens Geels",First Floor Features,"Jan Decleir, Fedja van Huêt, Betty Schuurman, Tamar van den Dop, Victor Löw, Hans Kesting, Lou Landré, Bernard Droog, Frans Vorstman, Fred Goessens, Jasper Gottlieb, Marius Gottlieb, Pavlik Jansen op de Haar, Marisa Van Eyle, Wim Van Der Grijn","Jacob Katadreuffe lives mute with his mother, has no contact with his father who only works against him and wants to become a lawyer, at all costs.",7.7,10302,$ 4500000,$ 623983,$ 623983,NA,70,55
tt0119468,Kiss the Girls,1997,13/02/1998,"Crime, Drama, Mystery",115,USA,"English, Mandarin",Gary Fleder,"James Patterson, David Klass",Paramount Pictures,"Morgan Freeman, Ashley Judd, Cary Elwes, Alex McArthur, Tony Goldwyn, Jay O. Sanders, Bill Nunn, Brian Cox, Richard T. Jones, Roma Maffia, Jeremy Piven, Gina Ravera, William Converse-Roberts, Helen Martin, Tatyana Ali",Police hunting for a serial kidnapper are helped when a victim manages to escape for the first time.,6.6,64386,$ 27000000,$ 60527873,$ 60527873,46,165,74
